FK_Accounts_Employees_EmployeeId,account,employee_id,employee,employee_id
FK_Accounts_Permissions_PermissionId,account,permission_id,permission,permission_id
fk_analysis_item_analysis_group,analysis_item,analysis_group_id,analysis_group,analysis_group_id
fk_analysis_item_equipment_type,analysis_item,equipment_type_id,equipment_type,equipment_type_id
fk_analysis_item_group,analysis_item,analysis_group_id,analysis_group,analysis_group_id
fk_analysis_item_sample_matrix,analysis_item,sample_matrix_id,sample_matrix,sample_matrix_id
fk_analysis_item_sample_matrix_group,analysis_item,sample_matrix_group_id,sample_matrix_group,sample_matrix_group_id
FK_client_debts_clients,client_debt,client_id,client,client_id
FK_client_forecasts_clients,client_forecast,client_id,client,client_id
FK_Contacts_Clients_ClientId,contact,client_id,client,client_id
FK_Departments_Branches_BranchId,department,branch_id,branch,branch_id
fk_dac_analysis_item,department_analysis_capability,analysis_item_id,analysis_item,analysis_item_id
fk_dac_department,department_analysis_capability,department_id,department,department_id
FK_package_analysis_groups_analysis_groups,package_analysis_group,analysis_group_id,analysis_group,analysis_group_id
FK_package_analysis_groups_packages,package_analysis_group,package_id,package,package_id
FK_quotations_clients,quotation,client_id,client,client_id
FK_quotations_employees,quotation,employee_id,employee,employee_id
FK_quotation_items_analysis_groups,quotation_item,analysis_group_id,analysis_group,analysis_group_id
FK_quotation_items_analysis_items,quotation_item,analysis_item_id,analysis_item,analysis_item_id
FK_quotation_items_packages,quotation_item,package_id,package,package_id
FK_quotation_items_quotations,quotation_item,quotation_id,quotation,quotation_id
fk_sample_matrix_sample_matrix_group,sample_matrix,sample_matrix_group_id,sample_matrix_group,sample_matrix_group_id

(22 rows affected)
